run_name,status,experiment_type,classifier_label,preprocessing.mode,preprocessing.image_size,feature_extraction.backbone,classifier.name,classifier.params,loaded_from_cache,fit_time_seconds,feature_dir,model,accuracy,precision_macro,recall_macro,f1_macro,wrong_predictions,total_samples,error_rate,roc_auc
005__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n100_depthnone,ok,base,RF_n100_depthNone,stretch,224,efficientnet_b0,random_forest,"{""n_estimators"": 100, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,35.965705,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,005__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n100_depthnone,0.9900299102691924,0.9900396030155549,0.9900279123028843,0.9900298210735586,10,1003,0.009970089730807577,0.9995367830076898
008__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,ok,base,RF_n200_depth20,stretch,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,65.462671,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,008__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,0.9900299102691924,0.9900396030155549,0.9900279123028843,0.9900298210735586,10,1003,0.009970089730807577,0.9996103410708465
106__mode-augmented__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,ok,base,RF_n200_depthNone,augmented,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,65.326826,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,106__mode-augmented__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,0.9900299102691924,0.9900648953006577,0.9900259242471232,0.9900296624996023,10,1003,0.009970089730807577,0.9995705799556266
107__mode-augmented__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,ok,base,RF_n200_depth20,augmented,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,65.569559,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,107__mode-augmented__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,0.9900299102691924,0.9900648953006577,0.9900259242471232,0.9900296624996023,10,1003,0.009970089730807577,0.9995864844017146
128__mode-augmented__size-224__backbone-vgg16__clf-rf_n200_depthnone,ok,base,RF_n200_depthNone,augmented,224,vgg16,random_forest,"{""n_estimators"": 200, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,35.612305,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-vgg16__pretrained-true,128__mode-augmented__size-224__backbone-vgg16__clf-rf_n200_depthnone,0.9890329012961117,0.9890338844223903,0.9890338844223903,0.9890329012961117,11,1003,0.010967098703888335,0.9997475169183545
113__mode-augmented__size-224__backbone-resnet18__clf-svmlinear_c0.1,ok,base,SVMLinear_C0.1,augmented,224,resnet18,svm_linear,"{""C"": 0.1, ""probability"": true, ""class_weight"": null}",True,5.527525,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-resnet18__pretrained-true,113__mode-augmented__size-224__backbone-resnet18__clf-svmlinear_c0.1,0.9890329012961117,0.9890475395234914,0.9890358724781513,0.9890328576895742,11,1003,0.010967098703888335,0.9993717743795277
020__mode-stretch__size-224__backbone-resnet18__clf-votingsoft_default,ok,ensemble,VotingSoft_default,stretch,224,resnet18,voting_soft,"{""voting"": ""soft"", ""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}}",True,26.04283,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-resnet18__pretrained-true,020__mode-stretch__size-224__backbone-resnet18__clf-votingsoft_default,0.9890329012961117,0.9890357852882703,0.9890318963666294,0.9890328576895742,11,1003,0.010967098703888335,0.9993479177103959
011__mode-stretch__size-224__backbone-resnet18__clf-lr_c0.1,ok,base,LR_C0.1,stretch,224,resnet18,logistic_regression,"{""C"": 0.1, ""max_iter"": 3000, ""class_weight"": null, ""n_jobs"": -1}",False,49.753333,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-resnet18__pretrained-true,011__mode-stretch__size-224__backbone-resnet18__clf-lr_c0.1,0.9890329012961117,0.9890357852882703,0.9890318963666294,0.9890328576895742,11,1003,0.010967098703888335,0.99933598937583
032__mode-stretch__size-224__backbone-vgg16__clf-stacking_default,ok,ensemble,Stacking_default,stretch,224,vgg16,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,114.494436,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-vgg16__pretrained-true,032__mode-stretch__size-224__backbone-vgg16__clf-stacking_default,0.9890329012961117,0.9890475395234914,0.9890358724781513,0.9890328576895742,11,1003,0.010967098703888335,0.9996262455169342
087__mode-letterbox__size-224__backbone-resnet18__clf-stacking_default,ok,ensemble,Stacking_default,letterbox,224,resnet18,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,136.713233,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-resnet18__pretrained-true,087__mode-letterbox__size-224__backbone-resnet18__clf-stacking_default,0.9890329012961117,0.9890532426736649,0.9890299083108682,0.9890327268678808,11,1003,0.010967098703888335,0.9994234638293136
074__mode-letterbox__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,ok,base,RF_n200_depth20,letterbox,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,66.289806,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,074__mode-letterbox__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,0.9890329012961117,0.9890862601005281,0.9890279202551073,0.9890325088247895,11,1003,0.010967098703888335,0.9997693855317255
